TypeNum:72, icd_code:D_428.0, Count:4581, avg_rank:5.817944, Accuracy:0.967693
TypeNum:74, icd_code:D_507.0, Count:956, avg_rank:33.808577, Accuracy:0.459205
TypeNum:172, icd_code:D_276.1, Count:889, avg_rank:46.005624, Accuracy:0.179978
TypeNum:83, icd_code:D_785.52, Count:879, avg_rank:38.200228, Accuracy:0.369738
TypeNum:222, icd_code:D_287.5, Count:864, avg_rank:47.256944, Accuracy:0.273148
TypeNum:143, icd_code:D_276.7, Count:830, avg_rank:49.950602, Accuracy:0.268675
TypeNum:29, icd_code:D_V15.82, Count:798, avg_rank:51.578947, Accuracy:0.249373
TypeNum:25, icd_code:D_V12.51, Count:792, avg_rank:47.213384, Accuracy:0.397727
TypeNum:163, icd_code:D_416.8, Count:781, avg_rank:39.478873, Accuracy:0.363636
TypeNum:77, icd_code:D_285.21, Count:767, avg_rank:29.865711, Accuracy:0.634941
TypeNum:43, icd_code:D_511.9, Count:755, avg_rank:49.909934, Accuracy:0.186755
TypeNum:98, icd_code:D_357.2, Count:701, avg_rank:31.168331, Accuracy:0.663338
TypeNum:204, icd_code:D_414.00, Count:687, avg_rank:34.848617, Accuracy:0.582242
TypeNum:45, icd_code:D_458.9, Count:683, avg_rank:63.322108, Accuracy:0.040996
TypeNum:59, icd_code:D_276.0, Count:676, avg_rank:45.772189, Accuracy:0.230769
TypeNum:194, icd_code:D_305.1, Count:669, avg_rank:62.623318, Accuracy:0.440957
TypeNum:94, icd_code:D_424.0, Count:652, avg_rank:48.825153, Accuracy:0.314417
TypeNum:79, icd_code:D_274.9, Count:651, avg_rank:52.614439, Accuracy:0.241167
TypeNum:159, icd_code:D_425.4, Count:616, avg_rank:59.779221, Accuracy:0.462662
TypeNum:216, icd_code:D_584.5, Count:615, avg_rank:54.569106, Accuracy:0.105691
TypeNum:11, icd_code:D_008.45, Count:597, avg_rank:63.956449, Accuracy:0.128978
TypeNum:104, icd_code:D_428.33, Count:597, avg_rank:46.894472, Accuracy:0.371859
TypeNum:100, icd_code:D_427.89, Count:595, avg_rank:68.220168, Accuracy:0.063866
TypeNum:58, icd_code:D_707.03, Count:594, avg_rank:48.611111, Accuracy:0.390572
TypeNum:391, icd_code:D_428.32, Count:590, avg_rank:52.916949, Accuracy:0.281356
TypeNum:160, icd_code:D_493.90, Count:581, avg_rank:50.616179, Accuracy:0.557659
TypeNum:69, icd_code:D_410.71, Count:579, avg_rank:48.324698, Accuracy:0.419689
TypeNum:678, icd_code:D_733.00, Count:567, avg_rank:59.710758, Accuracy:0.315697
TypeNum:184, icd_code:D_428.22, Count:555, avg_rank:62.727928, Accuracy:0.286486
TypeNum:90, icd_code:D_443.9, Count:511, avg_rank:49.632094, Accuracy:0.356164
TypeNum:117, icd_code:D_518.0, Count:510, avg_rank:75.482353, Accuracy:0.047059
TypeNum:411, icd_code:D_276.51, Count:500, avg_rank:86.496000, Accuracy:0.080000
TypeNum:226, icd_code:D_790.7, Count:492, avg_rank:88.254065, Accuracy:0.038618
TypeNum:218, icd_code:D_491.21, Count:487, avg_rank:49.273101, Accuracy:0.550308
TypeNum:135, icd_code:D_780.39, Count:485, avg_rank:64.727835, Accuracy:0.416495
TypeNum:62, icd_code:D_E879.8, Count:482, avg_rank:97.049793, Accuracy:0.078838
TypeNum:20, icd_code:D_995.91, Count:481, avg_rank:78.536383, Accuracy:0.101871
TypeNum:39, icd_code:D_458.29, Count:480, avg_rank:77.477083, Accuracy:0.045833
TypeNum:634, icd_code:D_V45.01, Count:477, avg_rank:45.463312, Accuracy:0.410901
TypeNum:265, icd_code:D_V49.86, Count:476, avg_rank:72.651261, Accuracy:0.264706
TypeNum:158, icd_code:D_428.23, Count:475, avg_rank:64.816842, Accuracy:0.355789
TypeNum:150, icd_code:D_070.54, Count:465, avg_rank:41.288172, Accuracy:0.643011
TypeNum:97, icd_code:D_250.60, Count:459, avg_rank:51.211329, Accuracy:0.442266
TypeNum:281, icd_code:D_276.52, Count:457, avg_rank:79.236324, Accuracy:0.024070
TypeNum:67, icd_code:D_V44.0, Count:453, avg_rank:60.598234, Accuracy:0.487859
TypeNum:24, icd_code:D_285.29, Count:449, avg_rank:92.365256, Accuracy:0.031180
TypeNum:298, icd_code:D_578.9, Count:446, avg_rank:79.533632, Accuracy:0.076233
TypeNum:129, icd_code:D_424.1, Count:445, avg_rank:51.071910, Accuracy:0.314607
TypeNum:75, icd_code:D_427.1, Count:434, avg_rank:83.732719, Accuracy:0.253456
TypeNum:473, icd_code:D_345.90, Count:427, avg_rank:60.039813, Accuracy:0.451991
TypeNum:119, icd_code:D_799.02, Count:424, avg_rank:91.323113, Accuracy:0.035377
TypeNum:151, icd_code:D_571.5, Count:422, avg_rank:60.857820, Accuracy:0.549763
TypeNum:57, icd_code:D_362.01, Count:416, avg_rank:36.221154, Accuracy:0.680288
TypeNum:86, icd_code:D_998.59, Count:413, avg_rank:84.312349, Accuracy:0.099274
TypeNum:205, icd_code:D_300.00, Count:411, avg_rank:90.890511, Accuracy:0.158151
TypeNum:113, icd_code:D_280.9, Count:408, avg_rank:88.774510, Accuracy:0.014706
TypeNum:164, icd_code:D_300.4, Count:402, avg_rank:89.328358, Accuracy:0.199005
TypeNum:51, icd_code:D_263.9, Count:395, avg_rank:79.101266, Accuracy:0.103797
TypeNum:131, icd_code:D_600.00, Count:394, avg_rank:64.685279, Accuracy:0.307107
TypeNum:185, icd_code:D_276.8, Count:392, avg_rank:94.500000, Accuracy:0.040816
TypeNum:121, icd_code:D_250.40, Count:392, avg_rank:48.326531, Accuracy:0.469388
TypeNum:513, icd_code:D_571.2, Count:382, avg_rank:45.251309, Accuracy:0.735602
TypeNum:425, icd_code:D_V45.11, Count:378, avg_rank:42.235450, Accuracy:0.566138
TypeNum:304, icd_code:D_V12.54, Count:375, avg_rank:76.362667, Accuracy:0.152000
TypeNum:314, icd_code:D_293.0, Count:375, avg_rank:94.296000, Accuracy:0.018667
TypeNum:22, icd_code:D_V58.65, Count:374, avg_rank:107.010695, Accuracy:0.136364
TypeNum:34, icd_code:D_790.92, Count:369, avg_rank:94.677507, Accuracy:0.051491
TypeNum:421, icd_code:D_278.00, Count:365, avg_rank:90.457534, Accuracy:0.131507
TypeNum:224, icd_code:D_414.8, Count:364, avg_rank:75.112637, Accuracy:0.307692
TypeNum:124, icd_code:D_V43.3, Count:363, avg_rank:71.834711, Accuracy:0.294766
TypeNum:8, icd_code:D_278.01, Count:362, avg_rank:67.513812, Accuracy:0.389503
TypeNum:32, icd_code:D_427.32, Count:361, avg_rank:100.789474, Accuracy:0.116343
TypeNum:186, icd_code:D_V45.02, Count:360, avg_rank:64.950000, Accuracy:0.333333
TypeNum:245, icd_code:D_787.91, Count:359, avg_rank:136.314763, Accuracy:0.033426
TypeNum:388, icd_code:D_572.3, Count:356, avg_rank:61.022472, Accuracy:0.612360
TypeNum:443, icd_code:D_996.62, Count:356, avg_rank:90.778090, Accuracy:0.174157
TypeNum:68, icd_code:D_V44.1, Count:344, avg_rank:77.805233, Accuracy:0.465116
TypeNum:353, icd_code:D_276.5, Count:335, avg_rank:87.802985, Accuracy:0.191045
TypeNum:387, icd_code:D_789.59, Count:333, avg_rank:102.111111, Accuracy:0.333333
TypeNum:1165, icd_code:D_E878.2, Count:327, avg_rank:97.305810, Accuracy:0.162080
TypeNum:418, icd_code:D_996.81, Count:323, avg_rank:40.343653, Accuracy:0.585139
TypeNum:309, icd_code:D_518.84, Count:320, avg_rank:85.800000, Accuracy:0.218750
TypeNum:92, icd_code:D_E878.8, Count:320, avg_rank:110.596875, Accuracy:0.078125
TypeNum:410, icd_code:D_427.5, Count:318, avg_rank:113.295597, Accuracy:0.000000
TypeNum:251, icd_code:D_V10.3, Count:318, avg_rank:92.182390, Accuracy:0.468553
TypeNum:480, icd_code:D_338.29, Count:314, avg_rank:112.178344, Accuracy:0.191083
TypeNum:1046, icd_code:D_428.30, Count:309, avg_rank:96.990291, Accuracy:0.061489
TypeNum:198, icd_code:D_998.11, Count:309, avg_rank:120.909385, Accuracy:0.022654
TypeNum:518, icd_code:D_280.0, Count:305, avg_rank:110.118033, Accuracy:0.036066
TypeNum:867, icd_code:D_536.3, Count:303, avg_rank:83.587459, Accuracy:0.666667
TypeNum:383, icd_code:D_585.3, Count:300, avg_rank:129.600000, Accuracy:0.033333
TypeNum:80, icd_code:D_V10.46, Count:298, avg_rank:71.909396, Accuracy:0.395973
TypeNum:257, icd_code:D_276.3, Count:297, avg_rank:119.333333, Accuracy:0.013468
TypeNum:602, icd_code:D_V42.2, Count:295, avg_rank:52.620339, Accuracy:0.386441
TypeNum:542, icd_code:D_041.4, Count:294, avg_rank:126.149660, Accuracy:0.013605
TypeNum:189, icd_code:D_997.1, Count:289, avg_rank:88.307958, Accuracy:0.079585
TypeNum:152, icd_code:D_E878.0, Count:286, avg_rank:56.965035, Accuracy:0.426573
TypeNum:441, icd_code:D_583.81, Count:283, avg_rank:95.183746, Accuracy:0.293286
TypeNum:694, icd_code:D_562.10, Count:282, avg_rank:113.507092, Accuracy:0.095745
TypeNum:319, icd_code:D_V66.7, Count:278, avg_rank:105.870504, Accuracy:0.068345
TypeNum:375, icd_code:D_564.00, Count:269, avg_rank:106.661710, Accuracy:0.026022
TypeNum:522, icd_code:D_070.70, Count:268, avg_rank:72.003731, Accuracy:0.436567
TypeNum:359, icd_code:D_294.8, Count:267, avg_rank:69.490637, Accuracy:0.228464
TypeNum:4, icd_code:D_518.5, Count:267, avg_rank:103.846442, Accuracy:0.018727
TypeNum:44, icd_code:D_785.51, Count:265, avg_rank:95.528302, Accuracy:0.011321
TypeNum:285, icd_code:D_V15.81, Count:259, avg_rank:150.810811, Accuracy:0.220077
TypeNum:221, icd_code:D_V09.0, Count:258, avg_rank:131.728682, Accuracy:0.062016
TypeNum:258, icd_code:D_998.12, Count:256, avg_rank:157.312500, Accuracy:0.050781
TypeNum:422, icd_code:D_V10.05, Count:252, avg_rank:70.952381, Accuracy:0.563492
TypeNum:822, icd_code:D_715.90, Count:250, avg_rank:136.940000, Accuracy:0.064000
TypeNum:153, icd_code:D_493.20, Count:247, avg_rank:118.024291, Accuracy:0.178138
TypeNum:35, icd_code:D_E934.2, Count:244, avg_rank:110.819672, Accuracy:0.004098
TypeNum:161, icd_code:D_397.0, Count:243, avg_rank:112.790123, Accuracy:0.131687
TypeNum:165, icd_code:D_288.60, Count:241, avg_rank:138.460581, Accuracy:0.016598
TypeNum:262, icd_code:D_041.11, Count:239, avg_rank:144.443515, Accuracy:0.058577
TypeNum:587, icd_code:D_286.9, Count:237, avg_rank:124.358650, Accuracy:0.029536
TypeNum:284, icd_code:D_V46.2, Count:237, avg_rank:103.105485, Accuracy:0.194093
TypeNum:1128, icd_code:D_250.61, Count:235, avg_rank:41.931915, Accuracy:0.642553
TypeNum:738, icd_code:D_788.20, Count:234, avg_rank:133.081197, Accuracy:0.000000
TypeNum:517, icd_code:D_518.82, Count:231, avg_rank:150.606061, Accuracy:0.008658
TypeNum:547, icd_code:D_560.1, Count:230, avg_rank:137.256522, Accuracy:0.021739
TypeNum:310, icd_code:D_349.82, Count:229, avg_rank:144.082969, Accuracy:0.008734
TypeNum:93, icd_code:D_682.6, Count:227, avg_rank:159.259912, Accuracy:0.013216
TypeNum:149, icd_code:D_E849.7, Count:224, avg_rank:176.866071, Accuracy:0.000000
TypeNum:818, icd_code:D_518.83, Count:223, avg_rank:104.515695, Accuracy:0.381166
TypeNum:336, icd_code:D_198.5, Count:222, avg_rank:77.509009, Accuracy:0.558559
TypeNum:335, icd_code:D_198.3, Count:222, avg_rank:59.175676, Accuracy:0.698198
TypeNum:338, icd_code:D_519.19, Count:221, avg_rank:113.447964, Accuracy:0.298643
TypeNum:214, icd_code:D_V15.3, Count:219, avg_rank:123.703196, Accuracy:0.315068
TypeNum:253, icd_code:D_518.89, Count:218, avg_rank:138.096330, Accuracy:0.064220
TypeNum:215, icd_code:D_482.41, Count:217, avg_rank:172.456221, Accuracy:0.055300
TypeNum:9, icd_code:D_V43.64, Count:216, avg_rank:126.101852, Accuracy:0.120370
TypeNum:483, icd_code:D_E878.1, Count:216, avg_rank:150.578704, Accuracy:0.041667
TypeNum:330, icd_code:D_291.81, Count:215, avg_rank:77.437209, Accuracy:0.586047
TypeNum:209, icd_code:D_570, Count:215, avg_rank:133.813953, Accuracy:0.041860
TypeNum:1491, icd_code:D_250.13, Count:215, avg_rank:36.232558, Accuracy:0.683721
TypeNum:575, icd_code:D_996.74, Count:214, avg_rank:173.976636, Accuracy:0.042056
TypeNum:223, icd_code:D_041.3, Count:213, avg_rank:157.117371, Accuracy:0.004695
TypeNum:70, icd_code:D_578.1, Count:211, avg_rank:166.829384, Accuracy:0.000000
TypeNum:649, icd_code:D_348.30, Count:206, avg_rank:150.398058, Accuracy:0.043689
TypeNum:212, icd_code:D_V10.11, Count:204, avg_rank:97.240196, Accuracy:0.406863
TypeNum:341, icd_code:D_197.0, Count:202, avg_rank:75.643564, Accuracy:0.603960
TypeNum:180, icd_code:D_041.04, Count:201, avg_rank:151.741294, Accuracy:0.044776
TypeNum:167, icd_code:D_E932.0, Count:200, avg_rank:151.215000, Accuracy:0.040000
TypeNum:846, icd_code:D_482.1, Count:198, avg_rank:172.863636, Accuracy:0.161616
TypeNum:550, icd_code:D_707.22, Count:197, avg_rank:138.710660, Accuracy:0.101523
TypeNum:1129, icd_code:D_415.19, Count:196, avg_rank:134.647959, Accuracy:0.045918
TypeNum:849, icd_code:D_197.7, Count:196, avg_rank:79.091837, Accuracy:0.556122
TypeNum:10, icd_code:D_V43.65, Count:194, avg_rank:121.128866, Accuracy:0.278351
TypeNum:81, icd_code:D_438.89, Count:193, avg_rank:112.875648, Accuracy:0.238342
TypeNum:656, icd_code:D_250.80, Count:193, avg_rank:143.906736, Accuracy:0.025907
TypeNum:192, icd_code:D_365.9, Count:192, avg_rank:122.895833, Accuracy:0.171875
TypeNum:200, icd_code:D_453.8, Count:192, avg_rank:139.140625, Accuracy:0.031250
TypeNum:360, icd_code:D_042, Count:191, avg_rank:23.492147, Accuracy:0.780105
TypeNum:767, icd_code:D_572.2, Count:191, avg_rank:95.659686, Accuracy:0.397906
TypeNum:248, icd_code:D_E933.1, Count:189, avg_rank:126.756614, Accuracy:0.317460
TypeNum:393, icd_code:D_433.10, Count:184, avg_rank:113.152174, Accuracy:0.298913
TypeNum:60, icd_code:D_112.0, Count:184, avg_rank:172.005435, Accuracy:0.032609
TypeNum:220, icd_code:D_038.11, Count:182, avg_rank:146.686813, Accuracy:0.016484
TypeNum:671, icd_code:D_714.0, Count:181, avg_rank:182.005525, Accuracy:0.000000
TypeNum:1152, icd_code:D_250.63, Count:181, avg_rank:56.729282, Accuracy:0.563536
TypeNum:775, icd_code:D_593.9, Count:181, avg_rank:151.961326, Accuracy:0.022099
TypeNum:326, icd_code:D_577.0, Count:180, avg_rank:174.566667, Accuracy:0.244444
TypeNum:458, icd_code:D_V45.89, Count:178, avg_rank:169.084270, Accuracy:0.056180
TypeNum:729, icd_code:D_250.41, Count:177, avg_rank:52.807910, Accuracy:0.553672
TypeNum:862, icd_code:D_V42.0, Count:177, avg_rank:79.610169, Accuracy:0.338983
TypeNum:228, icd_code:D_287.4, Count:176, avg_rank:173.284091, Accuracy:0.000000
TypeNum:457, icd_code:D_284.1, Count:175, avg_rank:217.045714, Accuracy:0.080000
TypeNum:905, icd_code:D_250.50, Count:175, avg_rank:107.611429, Accuracy:0.268571
TypeNum:369, icd_code:D_041.7, Count:173, avg_rank:189.953757, Accuracy:0.034682
TypeNum:840, icd_code:D_296.80, Count:172, avg_rank:158.802326, Accuracy:0.244186
TypeNum:792, icd_code:D_707.15, Count:172, avg_rank:134.255814, Accuracy:0.110465
TypeNum:357, icd_code:D_998.2, Count:171, avg_rank:162.029240, Accuracy:0.046784
TypeNum:657, icd_code:D_456.21, Count:171, avg_rank:101.350877, Accuracy:0.345029
TypeNum:1154, icd_code:D_459.81, Count:170, avg_rank:144.552941, Accuracy:0.029412
TypeNum:706, icd_code:D_440.20, Count:166, avg_rank:133.783133, Accuracy:0.060241
TypeNum:1023, icd_code:D_492.8, Count:166, avg_rank:143.843373, Accuracy:0.084337
TypeNum:280, icd_code:D_276.4, Count:165, avg_rank:201.193939, Accuracy:0.000000
TypeNum:848, icd_code:D_V10.52, Count:165, avg_rank:117.969697, Accuracy:0.303030
TypeNum:426, icd_code:D_515, Count:165, avg_rank:167.006061, Accuracy:0.187879
TypeNum:723, icd_code:D_346.90, Count:165, avg_rank:176.327273, Accuracy:0.327273
TypeNum:687, icd_code:D_V49.75, Count:163, avg_rank:121.631902, Accuracy:0.079755
TypeNum:596, icd_code:D_785.0, Count:162, avg_rank:190.487654, Accuracy:0.049383
TypeNum:633, icd_code:D_441.4, Count:162, avg_rank:153.024691, Accuracy:0.172840
TypeNum:902, icd_code:D_707.14, Count:161, avg_rank:131.484472, Accuracy:0.086957
TypeNum:364, icd_code:D_038.49, Count:161, avg_rank:205.478261, Accuracy:0.018634
TypeNum:322, icd_code:D_577.1, Count:159, avg_rank:134.955975, Accuracy:0.320755
TypeNum:290, icd_code:D_585.4, Count:159, avg_rank:167.345912, Accuracy:0.025157
TypeNum:637, icd_code:D_707.07, Count:158, avg_rank:135.632911, Accuracy:0.113924
TypeNum:430, icd_code:D_710.0, Count:157, avg_rank:66.343949, Accuracy:0.649682
TypeNum:332, icd_code:D_303.91, Count:157, avg_rank:112.713376, Accuracy:0.458599
TypeNum:264, icd_code:D_787.20, Count:157, avg_rank:167.764331, Accuracy:0.076433
TypeNum:730, icd_code:D_997.4, Count:156, avg_rank:140.307692, Accuracy:0.089744
TypeNum:1274, icd_code:D_428.43, Count:155, avg_rank:131.754839, Accuracy:0.032258
TypeNum:107, icd_code:D_E888.9, Count:154, avg_rank:188.733766, Accuracy:0.032468
TypeNum:358, icd_code:D_431, Count:153, avg_rank:141.830065, Accuracy:0.209150
TypeNum:118, icd_code:D_438.20, Count:151, avg_rank:130.132450, Accuracy:0.192053
TypeNum:99, icd_code:D_780.57, Count:149, avg_rank:215.221477, Accuracy:0.087248
TypeNum:766, icd_code:D_785.59, Count:148, avg_rank:205.810811, Accuracy:0.013514
TypeNum:302, icd_code:D_250.02, Count:148, avg_rank:178.628378, Accuracy:0.020270
TypeNum:655, icd_code:D_724.2, Count:147, avg_rank:198.149660, Accuracy:0.013605
TypeNum:293, icd_code:D_332.0, Count:145, avg_rank:122.668966, Accuracy:0.544828
TypeNum:65, icd_code:D_437.3, Count:145, avg_rank:83.268966, Accuracy:0.758621
TypeNum:645, icd_code:D_356.9, Count:144, avg_rank:253.868056, Accuracy:0.006944
TypeNum:705, icd_code:D_V87.41, Count:143, avg_rank:164.230769, Accuracy:0.286713
TypeNum:268, icd_code:D_780.09, Count:142, avg_rank:203.521127, Accuracy:0.007042
TypeNum:361, icd_code:D_428.20, Count:141, avg_rank:163.588652, Accuracy:0.021277
TypeNum:507, icd_code:D_413.9, Count:141, avg_rank:152.141844, Accuracy:0.014184
TypeNum:19, icd_code:D_999.31, Count:141, avg_rank:276.283688, Accuracy:0.014184
TypeNum:128, icd_code:D_411.1, Count:140, avg_rank:127.564286, Accuracy:0.150000
TypeNum:427, icd_code:D_553.3, Count:140, avg_rank:195.321429, Accuracy:0.078571
TypeNum:468, icd_code:D_275.3, Count:140, avg_rank:231.121429, Accuracy:0.000000
TypeNum:428, icd_code:D_535.50, Count:139, avg_rank:243.474820, Accuracy:0.000000
TypeNum:740, icd_code:D_E849.8, Count:138, avg_rank:224.050725, Accuracy:0.021739
TypeNum:524, icd_code:D_414.02, Count:137, avg_rank:85.722628, Accuracy:0.116788
TypeNum:516, icd_code:D_286.7, Count:137, avg_rank:193.554745, Accuracy:0.080292
TypeNum:683, icd_code:D_038.42, Count:135, avg_rank:226.918519, Accuracy:0.000000
TypeNum:78, icd_code:D_112.2, Count:135, avg_rank:207.607407, Accuracy:0.022222
TypeNum:217, icd_code:D_253.6, Count:135, avg_rank:214.355556, Accuracy:0.044444
TypeNum:177, icd_code:D_E885.9, Count:135, avg_rank:187.933333, Accuracy:0.022222
TypeNum:1056, icd_code:D_294.10, Count:135, avg_rank:172.666667, Accuracy:0.096296
TypeNum:56, icd_code:D_250.51, Count:135, avg_rank:61.718519, Accuracy:0.459259
TypeNum:431, icd_code:D_578.0, Count:134, avg_rank:235.611940, Accuracy:0.044776
TypeNum:748, icd_code:D_493.22, Count:133, avg_rank:149.571429, Accuracy:0.195489
TypeNum:134, icd_code:D_348.5, Count:133, avg_rank:136.300752, Accuracy:0.278195
TypeNum:579, icd_code:D_576.1, Count:133, avg_rank:158.616541, Accuracy:0.135338
TypeNum:787, icd_code:D_512.1, Count:133, avg_rank:225.744361, Accuracy:0.022556
TypeNum:1153, icd_code:D_250.43, Count:131, avg_rank:62.977099, Accuracy:0.412214
TypeNum:529, icd_code:D_682.2, Count:130, avg_rank:218.569231, Accuracy:0.007692
TypeNum:232, icd_code:D_693.0, Count:130, avg_rank:244.507692, Accuracy:0.023077
TypeNum:433, icd_code:D_403.01, Count:128, avg_rank:110.906250, Accuracy:0.320312
TypeNum:229, icd_code:D_276.6, Count:127, avg_rank:251.377953, Accuracy:0.000000
TypeNum:1061, icd_code:D_V10.83, Count:126, avg_rank:209.055556, Accuracy:0.071429
TypeNum:578, icd_code:D_557.0, Count:126, avg_rank:196.055556, Accuracy:0.000000
TypeNum:155, icd_code:D_V42.7, Count:126, avg_rank:123.134921, Accuracy:0.333333
TypeNum:412, icd_code:D_789.5, Count:126, avg_rank:155.309524, Accuracy:0.166667
TypeNum:452, icd_code:D_V45.1, Count:126, avg_rank:133.658730, Accuracy:0.158730
TypeNum:37, icd_code:D_V44.2, Count:125, avg_rank:166.376000, Accuracy:0.248000
TypeNum:256, icd_code:D_997.31, Count:125, avg_rank:206.408000, Accuracy:0.024000
TypeNum:141, icd_code:D_568.0, Count:124, avg_rank:174.903226, Accuracy:0.169355
TypeNum:786, icd_code:D_440.24, Count:124, avg_rank:122.758065, Accuracy:0.104839
TypeNum:208, icd_code:D_416.0, Count:123, avg_rank:235.325203, Accuracy:0.016260
TypeNum:416, icd_code:D_996.73, Count:123, avg_rank:165.926829, Accuracy:0.073171
TypeNum:235, icd_code:D_038.0, Count:123, avg_rank:251.398374, Accuracy:0.008130
TypeNum:288, icd_code:D_421.0, Count:122, avg_rank:188.918033, Accuracy:0.040984
TypeNum:140, icd_code:D_996.82, Count:120, avg_rank:40.033333, Accuracy:0.600000
TypeNum:1694, icd_code:D_596.54, Count:120, avg_rank:172.633333, Accuracy:0.300000
TypeNum:261, icd_code:D_401.1, Count:120, avg_rank:187.241667, Accuracy:0.016667
TypeNum:1096, icd_code:D_786.3, Count:120, avg_rank:265.916667, Accuracy:0.050000
TypeNum:21, icd_code:D_707.05, Count:119, avg_rank:206.302521, Accuracy:0.008403
TypeNum:1055, icd_code:D_331.0, Count:119, avg_rank:157.571429, Accuracy:0.109244
TypeNum:247, icd_code:D_790.4, Count:118, avg_rank:295.084746, Accuracy:0.000000
TypeNum:324, icd_code:D_303.90, Count:118, avg_rank:146.355932, Accuracy:0.288136
TypeNum:42, icd_code:D_423.9, Count:118, avg_rank:251.991525, Accuracy:0.000000
TypeNum:812, icd_code:D_724.5, Count:118, avg_rank:257.050847, Accuracy:0.025424
TypeNum:201, icd_code:D_996.72, Count:117, avg_rank:134.880342, Accuracy:0.068376
TypeNum:662, icd_code:D_537.89, Count:117, avg_rank:153.418803, Accuracy:0.299145
TypeNum:181, icd_code:D_410.72, Count:117, avg_rank:151.564103, Accuracy:0.025641
TypeNum:998, icd_code:D_303.01, Count:117, avg_rank:69.153846, Accuracy:0.589744
TypeNum:728, icd_code:D_344.1, Count:116, avg_rank:105.991379, Accuracy:0.594828
TypeNum:305, icd_code:D_V46.11, Count:116, avg_rank:121.887931, Accuracy:0.275862
TypeNum:38, icd_code:D_745.5, Count:115, avg_rank:389.660870, Accuracy:0.034783
TypeNum:282, icd_code:D_305.00, Count:115, avg_rank:205.834783, Accuracy:0.086957
TypeNum:1392, icd_code:D_774.6, Count:114, avg_rank:1.868421, Accuracy:0.982456
TypeNum:552, icd_code:D_135, Count:114, avg_rank:214.026316, Accuracy:0.201754
TypeNum:1030, icd_code:D_070.32, Count:112, avg_rank:146.616071, Accuracy:0.294643
TypeNum:492, icd_code:D_E879.1, Count:112, avg_rank:170.214286, Accuracy:0.125000
TypeNum:1602, icd_code:D_250.53, Count:111, avg_rank:76.657658, Accuracy:0.378378
TypeNum:782, icd_code:D_V15.88, Count:110, avg_rank:281.709091, Accuracy:0.009091
TypeNum:653, icd_code:D_255.41, Count:110, avg_rank:273.600000, Accuracy:0.000000
TypeNum:1131, icd_code:D_V08, Count:110, avg_rank:55.990909, Accuracy:0.600000
TypeNum:509, icd_code:D_286.6, Count:109, avg_rank:261.623853, Accuracy:0.045872
